Ac,Actinium,905
Ag,Silver,1016
AgCl,Silver(I) chloride,1065
AgF,Silver(I) fluoride,1071
Al,Aluminum,905
AlBr,Aluminum monobromide,913
AlBr3,Aluminum tribromide,593
AlCl,Aluminum monochloride,855
AlCl3,Aluminum trichloride,573
AlF,Aluminum monofluoride,673
AlF3,Aluminum trifluoride,282
AlI,Aluminum monoiodide,965
AlI3,Aluminum triiodide,673
Am,Americium,860
Ar,Argon,1521
As,Arsenic,1250
AsCl3,Arsenic(III) chloride,754
AsF3,Arsenic(III) fluoride,452
AsH3,Arsine,1021
Au,Gold,1254
B,Boron,1363
BBr3,Boron tribromide,809
BCl3,Boron trichloride,718
BF,Fluoroborane,957
Difluoroborane,(9.4),317
BF3,Boron trifluoride,365
BH,Boron monohydride,1385
BH3,Borane,1261
BI3,Boron triiodide,964
BO2,Boron dioxide,1001
B2H6,Diborane,1134
B2O3,Boron oxide,460
B4H10,Tetraborane,1105
B5H9,Pentaborane(9),1028
B6H10,Hexaborane,965
Ba,Barium,683
BaO,Barium oxide,543
Be,Beryllium,1224
BeO,Beryllium oxide,1111
Bi,Bismuth,908
BiCl3,Bismuth trichloride,73
Bk,Berkelium,911
Br,Bromine,1252
BrCl,Bromine chloride,1079
BrF,Bromine fluoride,1086
BrF5,Bromine pentafluoride,840
BrH,Hydrogen bromide,1087
BrH3Si,Bromosilane,943
BrI,Iodine bromide,986
BrK,Potassium bromide,578
BrLi,Lithium bromide,685
BrNO,Nitrosyl bromide,1065
BrNa,Sodium bromide,660
BrO,Bromine monoxide,1135
BrRb,Rubidium bromide,583
BrTl,Thallium(I) bromide,844
Br2,Bromine,1046
Br2Hg,Mercury(II) bromide,935
Br2Sn,Tin(II) bromide,839
Br3Ga,Gallium(III) bromide,711
Br3P,Phosphorus(III) bromide,798
Br4Hf,Hafnium(IV) bromide,366
Br4Sn,Tin(IV) bromide,709
Br4Ti,Titanium(IV) bromide,375
Br4Zr,Zirconium(IV) bromide,388
Ca,Calcium,768
CaCl,Calcium monochloride,462
CaO,Calcium oxide,668
Cd,Cadmium,980
Ce,Cerium,957
Cf,Californium,805
Cl,Chlorine,1373
ClCs,Cesium chloride,510
ClF,Chlorine fluoride,1171
ClFO3,Perchloryl fluoride,1224
ClF2,Chlorine difluoride,1128
ClF3,Chlorine trifluoride,1057
ClF5S,Sulfur chloride pentafluoride,144
ClH,Hydrogen chloride,1137
ClHO,Hypochlorous acid,993
ClH3Si,Chlorosilane,899
ClI,Iodine chloride,991
ClIn,Indium(I) chloride,842
ClK,Potassium chloride,557
ClLi,Lithium chloride,727
ClNO,Nitrosyl chloride,1099
ClNO2,Nitryl chloride,1155
ClNa,Sodium chloride,681
ClO,Chlorine monoxide,1159
ClO2,Chlorine dioxide,1093
ClRb,Rubidium chloride,590
ClTl,Thallium(I) chloride,869
