AgBr,,Ag—Br,2.3931
AgCl,,Ag—Cl,2.2808
AgF,,Ag—F,1.9832
AgH,,Ag—H,1.617
AgI,,Ag—I,2.5446
AgLi,,Ag—Li,2.41
AgO,,Ag—O,2.0030
AgOH,bent,Ag—O,2.016,O—H,0.952,∠HOAg
AlBr,,Al—Br,2.295
AlBr3,D3h,Al—Br,2.221
AlCa,,Al—Ca,3.148
AlCl,,Al—Cl,2.1301
AlCl3,D3h,Al—Cl,2.063
AlCo,,Al—Co,2.283
AlCu,,Al—Cu,2.339
AlF,,Al—F,1.6544
AlF3,D3h,Al—F,1.633
AlH,,Al—H,1.6482
AlI,,Al—I,2.5371
AlI3,D3h,Al—I,2.461
AlK,,Al—K,3.88
AlMn,,Al—Mn,2.638
AlNi,,Al—Ni,2.321
AlO,,Al—O,1.6176
AlS,,Al—S,2.029
AlV,,Al—V,2.620
AlZn,,Al—Zn,2.696
Al2,,Al—Al,2.701
AsBr3,C3v,As—Br,2.324,∠BrAsBr,99.6
AsCl3,C3v,As—Cl,2.165,∠ClAsCl,98.6
AsF3,C3v,As—F,1.710,∠FAsF,95.9
AsH,,As—H,1.5232
AsH3,C3v,As—H,1.511,∠HAsH,92.1
AsI3,C3v,As—I,2.557,∠IAsI,100.2
AsN,,As—N,1.6184
AsO,,As—O,1.6236
AsP,,As—P,1.99954
As2,,As—As,2.1026
AuH,,Au—H,1.5237
Au2,,Au—Au,2.4719
BBr,,B—Br,1.888
BBr3,D3h,B—Br,1.893
BCl,,B—Cl,1.7153
BClF2,C2v,B—Cl,1.728,B—F,1.315,∠FBF,118.1
BCl3,D3h,B—Cl,1.742
BF,,B—F,1.2626
BF2H,,B—H,1.189,B—F,1.311,∠FBF,118.3
BF3,D3h,B—F,1.313
BH,,B—H,1.2325
BH2NH2,planar,B—N,1.391,B—H,1.195,N—H,1.004,∠HBH,122.2,∠HNH,114.2
BH3,planar,B—H,1.1900
BH3PH3,staggeredform,B—P,1.937,B—H,1.212,P—H,1.399,∠PBH,103.6,∠BPH,116.9,∠HBH,114.6,∠HPH,101.3
BI3,D3h,B—I,2.118
BN,,B—N,1.281
BO,,B—O,1.2045
BO2,linear,B—O,1.265
BS,,B—S,1.6091
B2,,B—B,1.590
B3H3O3,,B—O,1.376,∠BOB,120,∠OBO,120
