H2,-13.598,1,-13.598,1,A,1,1,0.741,-4.48,0.00,-15.43,0.00,1.01,1.01,-15.43
,-13.598,1,-13.598,1,A,1,1,0.741,-4.52,0.00,-15.60,0.00,1.01,1.01,-15.60
D2,-13.602,1,-13.602,1,A,1,1,0.742,-4.59,0.00,-15.47,0.00,2.01,2.01,-15.47
T2,-13.603,1,-13.603,1,A,1,1,0.742,-4.63,0.00,-15.49,0.00,3.02,3.02,-15.49
F2,-17.423,2,-17.423,2,A,1,1,1.412,-1.61,0.00,-15.70,0.00,19.00,19.00,-15.70
,-17.423,2,-17.423,2,A,1,1,1.412,-1.64,0.00,-16.50,0.00,19.00,19.00,-16.50
Br2,-11.814,2,-11.814,2,A,1,1,2.281,-1.97,0.00,-10.52,0.00,79.90,79.90,-10.52
I2,-10.451,2,-10.451,2,A,1,1,2.667,-1.54,0.00,-9.31,0.00,126.90,126.90,-9.31
Cl2,-12.968,2,-12.968,2,A,1,1,1.988,-4.52,0.00,-11.49,0.00,35.45,35.45,-11.49
,-12.968,2,-12.968,2,A,1,1,1.988,-4.52,0.00,-11.32,0.00,35.45,35.45,-11.32
,-12.968,2,-12.968,2,A,1,1,1.988,-2.48,0.00,-11.32,0.00,35.45,35.45,-11.32
,-12.968,2,-12.968,2,A,1,1,1.988,-2.48,0.00,-11.49,0.00,35.45,35.45,-11.49
Li2,-5.392,1,-5.392,1,A,1,1,2.673,-1.09,0.00,-5.00,0.00,6.94,6.94,-5.00
,-5.392,1,-5.392,1,A,1,1,2.673,-1.14,0.00,-5.11,0.00,6.94,6.94,-5.11
Na2,-5.139,1,-5.139,1,A,1,1,3.078,-0.75,0.00,-4.89,0.00,22.99,22.99,-4.89
,-5.139,1,-5.139,1,A,1,1,3.078,-0.78,0.00,-4.89,0.00,22.99,22.99,-4.89
K2,-4.341,1,-4.341,1,A,1,1,3.923,-0.51,0.00,-4.00,0.00,39.10,39.10,-4.00
Rb2,-4.177,1,-4.177,1,A,1,1,4.200,-0.49,0.00,-3.44,0.00,85.47,85.47,-3.44
,-4.177,1,-4.177,1,A,1,1,4.200,-0.51,0.00,-3.95,0.00,85.47,85.47,-3.95
Cs2,-3.894,1,-3.894,1,A,1,1,4.580,-0.46,0.00,-3.59,0.00,132.91,132.91,-3.59
,-3.894,1,-3.894,1,A,1,1,4.580,-0.45,0.00,-3.82,0.00,132.91,132.91,-3.82
He2,-24.587,2,-24.587,2,A,1,1,1.081,-0.04,0.00,-22.22,0.00,4.00,4.00,-22.22
Be2,-9.323,2,-9.323,2,A,2,2,2.460,-0.61,0.00,-7.42,0.00,9.01,9.01,-7.42
C2,-11.260,2,-11.260,2,A,2,2,1.307,-6.25,0.00,-12.15,0.00,12.01,12.01,-12.15
O2,-13.618,1,-13.618,1,A,2,2,1.207,-5.17,0.00,-12.07,0.00,16.00,16.00,-12.07
,-13.618,1,-13.618,1,A,2,2,1.207,-5.12,0.00,-12.07,0.00,16.00,16.00,-12.07
S2,-10.360,1,-10.360,1,A,2,2,1.889,-4.37,0.00,-9.36,0.00,32.07,32.07,-9.36
N2,-14.534,3,-14.534,3,A,3,3,1.098,-9.79,0.00,-15.58,0.00,14.01,14.01,-15.58
,-14.534,3,-14.534,3,A,3,3,1.098,-9.77,0.00,-15.58,0.00,14.01,14.01,-15.58
HD,-13.598,1,-13.602,1,A,1,1,0.741,-4.55,0.00,-15.45,0.00,1.01,2.01,-15.45
HF,-13.598,1,-17.423,2,A,1,1,0.917,-5.90,1.82,-16.01,0.00,1.01,19.00,-16.01
,-13.598,1,-17.423,2,A,1,1,0.917,-5.90,1.82,-17.00,0.00,1.01,19.00,-17.00
HCl,-13.598,1,-12.968,2,B,1,1,1.274,-4.47,1.07,0.00,-12.74,1.01,35.45,-12.74
HBr,-13.598,1,-11.814,2,B,1,1,1.415,-3.79,0.82,0.00,-11.67,1.01,79.90,-11.67
HI,-13.598,1,-10.451,2,B,1,1,1.609,-3.05,0.45,-12.37,-10.39,1.01,126.90,-10.39
HC,-13.598,1,-11.260,2,B,1,1,1.120,-3.51,1.57,0.00,-11.13,1.01,12.01,-11.13
NH,-14.534,3,-13.598,1,B,1,1,1.045,-3.69,1.63,0.00,-13.10,14.01,1.01,-13.10
OH,-13.618,1,-13.598,1,B,1,1,0.971,-4.46,1.78,0.00,-13.18,16.00,1.01,-13.18
FCl,-17.423,2,-12.968,2,B,1,1,1.628,-2.70,0.88,-13.13,-12.66,19.00,35.45,-12.66
BrF,-11.814,2,-17.423,2,A,1,1,1.755,-2.90,1.29,-11.78,0.00,79.90,19.00,-11.78
BrCl,-11.814,2,-12.968,2,A,1,1,2.138,-2.27,0.57,-11.10,-11.21,79.90,35.45,-11.10
ICl,-10.451,2,-12.968,2,A,1,1,2.321,-2.19,0.65,-10.08,-10.38,126.90,35.45,-10.08
IBr,-10.450,2,-11.814,2,A,1,1,2.485,-1.86,0.74,-9.85,-9.90,126.90,79.90,-9.85
LiI,-5.392,1,-10.451,2,A,1,1,2.392,-3.58,7.43,-8.55,0.00,6.94,126.90,-8.55
NaI,-5.139,1,-10.451,2,A,1,1,2.712,-3.15,9.21,-7.64,0.00,22.99,126.90,-7.64
,-5.139,1,-10.451,2,A,1,1,2.712,-2.99,9.21,-8.80,0.00,22.99,126.90,-8.80
,-5.139,1,-10.451,2,A,1,1,2.712,-2.99,9.21,-7.64,0.00,22.99,126.90,-7.64
NaCl,-5.139,1,-12.967,2,A,1,1,2.361,-4.27,8.97,-9.20,-10.00,22.99,35.45,-9.20
,-5.139,1,-12.967,2,A,1,1,2.361,-4.27,8.97,-8.93,-10.00,22.99,35.45,-8.93
NaBr,-5.139,1,-11.814,2,A,1,1,2.502,-3.76,9.09,-8.31,0.00,22.99,79.90,-8.31
NaF,,,,,,1,1,1.926,-4.99,8.12,-10.50,-15.00,22.99,,-10.50
LiH,-5.392,1,-13.598,1,A,1,1,1.595,-2.47,5.88,-7.90,0.00,6.94,1.01,-7.90
LiF,-5.392,1,-17.422,2,A,1,1,1.564,-5.98,6.28,-11.30,0.00,6.94,19.00,-11.30
LiCl,,,,,,1,1,2.021,-4.86,7.09,-9.57,-10.00,,,-9.57
KCl,-4.341,1,-12.967,2,A,1,1,2.667,-4.37,10.25,-10.50,0.00,39.10,35.45,-8.44
KBr,-4.341,1,-11.814,2,A,1,1,2.821,-3.93,10.60,-7.85,0.00,39.10,79.90,-7.85
KF,-4.341,1,-17.422,2,A,1,1,2.172,-5.07,8.56,-9.90,0.00,39.10,19.00,-9.20
KI,-4.341,1,-10.451,2,A,1,1,3.048,-3.34,11.05,-7.21,0.00,39.10,126.90,-7.21
TlCl,-6.108,1,-12.967,2,A,1,1,2.485,-3.86,4.54,-9.70,0.00,204.38,35.45,-9.70
CsF,-3.894,1,-17.422,2,A,1,1,2.345,-5.29,7.85,-8.80,0.00,132.91,19.00,-8.80
HB,-13.598,1,-8.298,1,B,1,1,1.232,-3.58,1.27,0.00,-9.77,1.01,10.81,-9.77
HS,-13.598,1,-10.360,1,B,1,1,1.341,-3.66,0.65,0.00,-10.42,1.01,32.07,-10.42
NO,-14.534,3,-13.618,4,B,2,2,1.151,-8.00,0.15,-10.00,-9.26,14.01,16.00,-9.26
,-14.534,3,-13.618,4,B,2,2,1.151,-6.55,0.15,-10.00,-9.26,14.01,16.00,-9.26
CO,-11.260,2,-13.618,4,A,2,4,1.128,-7.76,0.11,-14.01,0.00,12.01,16.00,-14.01
,-11.260,2,-13.618,4,A,2,4,1.128,-11.16,0.11,-14.01,0.00,12.01,16.00,-14.01
CS,-11.260,2,-10.360,4,B,2,4,1.535,-7.39,1.98,0.00,-11.33,12.01,32.07,-11.33
,-11.260,2,-10.360,4,B,2,4,1.535,-7.53,1.98,0.00,-11.33,12.01,32.07,-11.33
BeO,-9.323,2,-13.618,4,A,2,2,1.331,-4.53,7.30,-10.10,0.00,9.01,16.00,-10.10
,-9.323,2,-13.618,4,A,2,2,1.331,-4.53,1.40,-10.10,0.00,9.01,16.00,-10.10
BaO,-5.212,2,-13.618,4,A,2,2,1.940,-4.83,7.95,-6.91,0.00,137.33,16.00,-6.91
