Oxygen diatomic,0,O2,0
Chlorine diatomic,0,Cl2,0
Germane,0,GeH4,0
Hydrogen peroxide,0,H2O2,0
Phosphorus atom,0,P,0
Bromine diatomic,0,Br2,0
Nitrogen diatomic,0,N2,0
magnesium dihydride,0,MgH2,0
Sulfur atom,0,S,0
Sulfur trioxide,0,SO3,0
Aluminum trichloride,0,AlCl3,0
Iodine diatomic,0,I2,0
silicon dioxide,0,SiO2,0
Borane- trifluoro-,0,BF3,0
Phosphorus pentafluoride,0,PF5,0
Methyl radical,0,CH3,0
Sulfur Hexafluoride,0,SF6,0
2-4-Hexadiyne,0,C6H6,0
Aluminum atom,0,Al,0
Lithium atom,0,Li,0
Magnesium atom,0,Mg,0
Silicon atom,0,Si,0
Sodium atom,0,Na,0
Beryllium atom,0,Be,0
Boron atom,0,B,0
Carbon atom,0,C,0
Deuterium diatomic,0,D2,0
Fluorine diatomic,0,F2,0
Silicon tetrafluoride,0,SiF4,0
Aluminum trifluoride,0,AlF3,0
aluminum trihydride,0,AlH3,0
beryllium dihydride,0,BeH2,0
Silane,0,SiH4,0
Silane- tetrachloro-,0,SiCl4,0
Phosphorus pentachloride,0,PCl5,0
Borane- trichloro-,0,BCl3,0
Dinitrogen tetroxide,0,N2O4,0
Carbon diatomic,0,C2,0
carbon trimer,0,C3,0
Phosphorus diatomic,0,P2,0
Phosphorus tetramer,0,P4,0
Hydrogen atom,0,H,0
Silicon diatomic,0,Si2,0
boron trihydride,0,BH3,0
Diboron tetrachloride,0,B2Cl4,0
Diboron dioxide,0,B2O2,0
Boron dioxide,0,BO2,0
Diboron tetrafluoride,0,B2F4,0
Lithium diatomic,0,Li2,0
Beryllium diatomic,0,Be2,0
Fluorine atom,0,F,0
(E)-diazine,0,N2H2,0
Oxygen atom,0,O,0
Nitrogen atom,0,N,0
Deuterium atom,0,D,0
Chlorine atom,0,Cl,0
Sulfur diatomic,0,S2,0
Sodium diatomic,0,Na2,0
Magnesium diatomic,0,Mg2,0
Bicyclo[2.2.0]hex-1(4)-ene,0,C6H8,0
Aluminum diatomic,0,Al2,0
Hydrogen diatomic,0,H2,0
2-Butene- (E)-,0,CH3CHCHCH3,0
1-2-difluoroethane,0,C2H4F2,0
Carbon dioxide,0,CO2,0
Tetrachloroethylene,0,C2Cl4,0
cubane,0,C8H8,0
Pyrazine,0,C4H4N2,0
1-3-5-Triazine,0,C3H3N3,0
Diacetylene,0,C4H2,0
Cyanogen,0,C2N2,0
allene,0,CH2CCH2,0
