spiro[4.4]nona-1-3-6-8-tetraene,0,C9H8,,7.99
Thiophene- 2-3-dihydro-,0,C4H6S,,8.11
1-3-Dithiolane-2-thione,0,C3H4S3,,8.4
1H-Imidazole- 2-methyl-,0,C4H6N2,,8.5
Methyl cyclopropyl ketone,0,C5H8O,,9.46
Thiazole,0,C3H3NS,,9.5
Isoxazole- 5-methyl-,0,C4H5NO,,9.61
Methanedithiol,0,HSCH2SH,,9.9
γ–Butyrolactone,0,C4H6O2,,10.26
Disodium dichloride,0,Na2Cl2,,10.3
H2CPH,0,CH2PH,,10.3
Dimethyl sulfone,0,C2H6O2S,,10.65
Oxirane- (chloromethyl)-,0,C3H5ClO,,10.66
Maleic Anhydride,0,C4H2O3,,11.07
thionyl chloride,0,SOCl2,,11.07
Formic acid dimer,0,C2H4O4,,11.2
chlorosilane,0,SiH3Cl,,11.61
Trichlorosilane,0,SiHCl3,,11.94
Aluminum trifluoride,0,AlF3,,15.45
Phosphorus pentafluoride,0,PF5,,15.54
cycloheptatrienyl radical,0,C7H7,0.39,
Potassium diatomic,0,K2,4.06,
Lithium trimer,0,Li3,4.08,
methyl ammonium radical,0,CH3NH3,4.3,
Potassium atom,0,K,4.34,
Sodium Potassium,0,NaK,4.42,
Sodium diatomic,0,Na2,4.89,
lithium sodium,0,NaLi,5.05,
disodium monoxide,0,Na2O,5.1,
Lithium diatomic,0,Li2,5.11,
Sodium atom,0,Na,5.14,
Lithium atom,0,Li,5.39,
Aluminum diatomic,0,Al2,5.4,
Calcium monofluoride,0,CaF,5.83,
Calcium monohydride,0,CaH,5.86,
calcium monochloride,0,CaCl,5.86,
Calcium monohydroxide,0,CaOH,5.9,
Aluminum atom,0,Al,5.99,
Gallium atom,0,Ga,6,
dilithium oxide,0,Li2O,6,
Titanium monohydride,0,TiH,6,
Calcium atom,0,Ca,6.11,6.11
Scandium monofluoride,0,ScF,6.5,
Scandium atom,0,Sc,6.56,
cyclopropenyl radical,0,C3H3,6.6,
1-hydroxy-ethyl radical,0,CH3CHOH,6.64,7.29
2-Methylbut-2-yl radical,0,C5H11,6.65,6.91
Calcium monoxide,0,CaO,6.66,
Tert-butyl radical,0,C(CH3)3,6.7,6.95
Vanadium atom,0,V,6.75,
Chromium atom,0,Cr,6.77,6.77
Titanium monoxide,0,TiO,6.82,
Titanium atom,0,Ti,6.83,
Tetracene,0,C18H12,6.97,
Acetyl radical,0,CH3CO,7,
Potassium monoxide,0,KO,7.1,
Zinc monomethyl,0,ZnCH3,7.2,
Vanadium monoxide,0,VO,7.24,
benzyl radical,0,C6H5CH2,7.24,
1-3-pentadienyl radical,0,C5H7,7.25,
2-Butyl radical,0,CH3CHCH2CH3,7.25,7.59
Coronene,0,C24H12,7.29,
Triethylenediamine,0,C6H12N2,7.32,
Isopropyl radical,0,CH3CHCH3,7.37,7.67
Disulfide- dimethyl,0,CH3SSCH3,7.4,8.97
sodium monoxide,0,NaO,7.41,
Thioformyl radical,0,HCS,7.41,
Pyrene,0,C16H10,7.43,
Manganese atom,0,Mn,7.43,
Anthracene,0,C14H10,7.44,
Germanium monofluoride,0,GeF,7.46,
magnesium monochloride,0,MgCl,7.49,
Magnesium monofluoride,0,MgF,7.5,
magnesium hydroxide,0,MgOH,7.5,
Potassium hydroxide,0,KOH,7.5,
benzocyclobutadiene,0,C8H6,7.5,
triethylamine,0,C6H15N,7.53,
silicon monofluoride,0,SiF,7.54,
Hydroxymethyl radical,0,CH2OH,7.56,8.14
Buckminsterfullerene,0,C60,7.57,
biphenylene,0,C12H8,7.58,
Nickel atom,0,Ni,7.64,
Magnesium atom,0,Mg,7.65,
1-3-5-Trithiane,0,C3H6S3,7.7,
aniline,0,C6H5NH2,7.72,
Copper atom,0,Cu,7.73,
Boron silicide,0,BSi,7.8,
Dinitrogen monohydride,0,NNH,7.8,
Quadricyclane,0,C7H8,7.8,8.33
Trimethylamine,0,N(CH3)3,7.85,8.54
Cobalt atom,0,Co,7.88,
Silylidyne,0,SiH,7.89,
Iron pentacarbonyl,0,Fe(CO)5,7.9,8.6
Copper diatomic,0,Cu2,7.9,
Germanium atom,0,Ge,7.9,
Lithium Hydride,0,LiH,7.9,
Potassium Bromide,0,KBr,7.9,
Silicon diatomic,0,Si2,7.9,
diethylamine,0,NH(C2H5)2,7.9,
Carbonotrithioic acid- dimethyl ester,0,C3H6S3,7.9,8.5
Iron atom,0,Fe,7.9,
Fluorene,0,C13H10,7.91,
Isobutyl radical,0,CH2CH(CH3)2,7.93,8.31
Germyl radical,0,GeH3,7.95,
1H-Pyrrole- 1-methyl-,0,C5H7N,7.99,
nitrosobenzene,0,C6H5NO,8,
Potassium hydride,0,KH,8,
Bicyclo[2.1.0]pent-2-ene,0,C5H6,8,8.6
1-2-3-6-Tetrahydropyridine,0,C5H9N,8,8.64
Piperidine,0,C5H11N,8.03,8.65
n-Propyl radical,0,C3H7,8.09,8.35
ethanimine,0,CH3CHNH,8.1,
Benzvalene,0,C6H6,8.1,8.54
Hydrazine,0,N2H4,8.1,8.98
Trichloromethyl radical,0,CCl3,8.11,
Ethyl radical,0,C2H5,8.12,8.51
trimethylphosphine,0,P(CH3)3,8.12,
Acenaphthylene,0,C12H8,8.12,
Formyl radical,0,HCO,8.12,9.31
Silyl radical,0,SiH3,8.14,8.74
Indene,0,C9H8,8.14,
naphthalene,0,C10H8,8.14,
Silicon atom,0,Si,8.15,
biphenyl,0,C12H10,8.16,
cyclobutadiene,0,C4H4,8.16,
Allyl radical,0,C3H5,8.18,
Sulfur trifluoride,0,SF3,8.18,
2-4-Hexadiene- (Z-Z)-,0,C6H10,8.18,8.27
Hydrocarboxyl radical,0,HOCO,8.2,
Anisole,0,C6H5OCH3,8.2,
Silicon Germanium,0,SiGe,8.2,
Phosphorus monoselenide,0,PSe,8.2,
2H-Thiopyran- tetrahydro-,0,C5H10S,8.2,8.36
