Hydrogen diatomic,0,H2,1,Σg,4161
Hydrogen cation,1,H2+,1,Σ,2191
Deuterium diatomic,0,D2,1,Σg,2994
Deuterium hydride,0,HD,1,Σ,3632
hydrogen trimer cation,1,H3+,1,A1',3178
hydrogen trimer cation,1,H3+,2,E',2521
helium diatomic cation,1,He2+,1,Σ,1628
Lithium Hydride,0,LiH,1,Σ,1360
beryllium monohydride,0,BeH,1,Σ,1987
beryllium dihydride,0,BeH2,2,Σu,2159
beryllium dihydride,0,BeH2,3,Πu,698
Boron monohydride,0,BH,1,Σ,2269
boron monohydride cation,1,BH+,1,Σ,2153
Methylidyne,0,CH,1,Σ,2733
Methylidyne,0,CH,1,Σ,
Methylidyne,0,CH,1,Σ,
boron dihydride,0,BH2,2,A1,954
Methylene,0,CH2,1,A1,2806
Methylene,0,CH2,1,A1,2806
Methylene,0,CH2,2,A1,1353
Methylene,0,CH2,2,A1,963
Methylene,0,CH2,3,B2,3190
Methylene,0,CH2,3,B2,2865
methylene cation,1,CH2+,2,A1,968
methylene cation,1,CH2+,3,B2,3131
boron trihydride,0,BH3,2,"A2""",1148
boron trihydride,0,BH3,3,E',2602
boron trihydride,0,BH3,4,E',1197
Imidogen,0,NH,1,Σ,3126
Imidogen,0,NH,1,Σ,3188
Imidogen,0,NH,1,Σ,3206
imidogen cation,1,NH+,1,Σ,
Methyl radical,0,CH3,1,A1',3004
Methyl radical,0,CH3,2,"A2""",606
Methyl radical,0,CH3,3,E',3161
Methyl radical,0,CH3,4,E',1396
methyl cation,1,CH3+,2,A2,1359
methyl cation,1,CH3+,3,E',3108
methyl cation,1,CH3+,4,E',1370
hydroxide anion,-1,OH-,1,Σ,
Hydroxyl radical,0,OH,1,Σ,3570
hydoxyl cation,1,OH+,1,Σ,2956
Hydroxyl-d,0,DO,1,Σ,2632
amino anion,-1,NH2-,1,A1,3122
amino anion,-1,NH2-,2,A1,1523
amino anion,-1,NH2-,3,B2,3190
Amino radical,0,NH2,1,A1,3219
Amino radical,0,NH2,2,A1,1497
Amino radical,0,NH2,3,B2,3301
Amino cation,1,NH2+,1,Σg,3090
Amino cation,1,NH2+,1,A1,3044
Amino cation,1,NH2+,2,A1,1350
Amino cation,1,NH2+,2,Σu,3360
Amino cation,1,NH2+,3,Πu,319
Amidogen-d2,0,ND2,2,A',1109
Methane,0,CH4,1,A1,2917
Methane,0,CH4,2,E,1534
Methane,0,CH4,3,T2,3019
Methane,0,CH4,4,T2,1306
methane-d4,0,CD4,1,A1,2109
methane-d4,0,CD4,2,E,1092
methane-d4,0,CD4,3,T2,2259
methane-d4,0,CD4,4,T2,996
methane-d,0,CH3D,1,A1,2945
methane-d,0,CH3D,2,A1,2200
methane-d,0,CH3D,3,A1,1300
methane-d,0,CH3D,4,E,3017
methane-d,0,CH3D,5,E,1471
methane-d,0,CH3D,6,E,1155
methane-d2,0,CH2D2,1,A1,2974
methane-d2,0,CH2D2,2,A1,2202
methane-d2,0,CH2D2,3,A1,1436
methane-d2,0,CH2D2,4,A1,1033
methane-d2,0,CH2D2,5,A2,1333
methane-d2,0,CH2D2,6,B1,2234
methane-d2,0,CH2D2,7,B2,1234
methane-d2,0,CH2D2,8,B2,3013
methane-d2,0,CH2D2,9,B2,1090
methane-d3,0,CHD3,1,A1,2993
methane-d3,0,CHD3,2,A1,2142
methane-d3,0,CHD3,3,A1,1003
methane-d3,0,CHD3,4,E,2263
methane-d3,0,CHD3,5,E,1291
methane-d3,0,CHD3,6,E,1036
Hydrogen fluoride,0,HF,1,Σ,3961
hydrogen fluoride cation,1,HF+,1,Σ,2913
Ammonia,0,NH3,1,A1,3337
Ammonia,0,NH3,2,A1,950
Ammonia,0,NH3,3,E,3444
Ammonia,0,NH3,4,E,1627
ammonia cation,1,NH3+,1,A1',3177
ammonia cation,1,NH3+,2,"A2""",903
ammonia cation,1,NH3+,3,E',3389
ammonia cation,1,NH3+,4,E',1507
Water,0,H2O,1,A1,3657
Water,0,H2O,2,A1,1595
Water,0,H2O,3,B2,3756
water cation,1,H2O+,1,A1,3213
water cation,1,H2O+,2,A1,1408
water cation,1,H2O+,3,B2,3259
Deuterium oxide,0,D2O,1,A1,2671
Deuterium oxide,0,D2O,2,A1,1178
Deuterium oxide,0,D2O,3,B2,2788
Ammonia-d3,0,ND3,1,A1,2420
Ammonia-d3,0,ND3,2,A1,748
Ammonia-d3,0,ND3,3,E,2564
Ammonia-d3,0,ND3,4,E,1191
Hydrofluoric acid-d,0,DF,1,Σ,
Water-d1,0,HDO,1,A',3707
Water-d1,0,HDO,2,A',2727
Water-d1,0,HDO,3,A',1402
dihydrogen fluoride cation,1,H2F+,1,A1,3349
dihydrogen fluoride cation,1,H2F+,3,B2,3335
hydronium cation,1,H3O+,1,A1,3491
hydronium cation,1,H3O+,2,A1,954
hydronium cation,1,H3O+,3,E,3536
hydronium cation,1,H3O+,4,E,1626
ammonium cation,1,NH4+,3,T2,3343
ammonium cation,1,NH4+,4,T2,1447
sodium hydride,0,NaH,1,Σ,1133
magnesium monohydride,0,MgH,1,Σ,1432
magnesium monohydride cation,1,MgH+,1,Σ,1635
magnesium dihydride,0,MgH2,2,Σu,1572
magnesium dihydride,0,MgH2,3,Πu,440
aluminum monohydride,0,AlH,1,Σ,1625
aluminum monohydride cation,1,AlH+,1,Σ,
silicon monohydride anion,-1,SiH-,1,Σ,
Silylidyne,0,SiH,1,Σ,1971
silicon monohydride cation,1,SiH+,1,Σ,2089
aluminum dihydride,0,AlH2,1,A1,1770
aluminum dihydride,0,AlH2,2,A1,760
aluminum dihydride,0,AlH2,3,B2,1807
aluminum trihydride,0,AlH3,1,A1',1900
aluminum trihydride,0,AlH3,2,"A2""",698
aluminum trihydride,0,AlH3,3,E',1883
aluminum trihydride,0,AlH3,4,E',783
silicon dihydride,0,SiH2,1,A1,1996
silicon dihydride,0,SiH2,2,A1,999
silicon dihydride,0,SiH2,3,B2,1993
phosphorus monohydride anion,-1,PH-,1,Σ,
phosphorus monohydride,0,PH,1,Σ,2276
phosphorus monohydride,0,PH,1,Σ,2319
phosphorus monohydride,0,PH,1,Σ,2319
phosphorus monohydride cation,1,PH+,1,Σ,
Phosphino radical,0,PH2,1,A1,2310
Phosphino radical,0,PH2,2,A1,1102
Silyl radical,0,SiH3,1,A1,2136
Silyl radical,0,SiH3,2,A1,728
Silyl radical,0,SiH3,3,E,2185
Silyl radical,0,SiH3,4,E,922
Silyl cation,1,SiH3+,2,A2,838
Silyl cation,1,SiH3+,4,E',938
Mercapto-d,0,DS,1,Σ,
mercapto anion,-1,HS-,1,Σ,2541
Mercapto radical,0,HS,1,Σ,2599
