Acenaphthene,C12H10,0.85
Acetaldehyde,C2H4O,2.75
Acetamide,C2H5NO,3.68
Acetic acid,C2H4O2,1.7
Acetic anhydride,C4H6O3,2.8
Acetone,C3H6O,2.88
Acetonitrile,C2H3N,3.92519
Acetophenone,C8H8O,3.02
Acetyl chloride,C2H3ClO,2.72
Acetylene-carbon dioxide complex,C2H2·CO2,0.161
Acetylene-carbon monoxide complex,C2H2·CO,0.311
Acetylene-carbon oxysulfide trimer complex,C2H2·C3O3S3,1.23
Acetylene-hydrogen cyanide complex,C2H2·CHN,3.29
Acetyl fluoride,C2H3FO,2.96
Acrylonitrile,C3H3N,3.92
Allyl alcohol,C3H6O,1.6
Allylamine,C3H7N,1.2
Aluminum monofluoride,AlF,1.53
Ammonia,H3N,1.4718
Aniline,C6H7N,1.13
Anisole,C7H8O,1.38
Arsenic(III) chloride,AsCl3,1.59
Arsenic(III) fluoride,AsF3,2.59
Arsine,AsH3,0.217
Azulene,C10H8,0.8
Barium oxide,BaO,7.954
Barium sulfide,BaS,10.86
Benzaldehyde,C7H6O,3
Benzeneacetonitrile,C8H7N,3.5
Benzene-hydrogen sulfide complex,C6H6·H2S,1.14
Benzene-krypton complex,C6H6·Kr,0.136
Benzene-sulfur dioxide complex,C6H6·O2S,2.061
Benzenethiol,C6H6S,1.23
Benzonitrile,C7H5N,4.18
Benzyl acetate,C9H10O2,1.22
Benzyl alcohol,C7H8O,1.71
Benzyl benzoate,C14H12O2,2.06
Bis(2-aminoethyl)amine,C4H13N3,1.89
Bis(2-chloroethyl) ether,C4H8Cl2O,2.58
Bis(2-ethylhexyl) phthalate,C24H38O4,2.84
Borane carbonyl,CH3BO,1.698
Bromine chloride,BrCl,0.519
Bromine dioxide,BrO2,2.8
Bromine fluoride,BrF,1.422
Bromine monoxide,BrO,1.76
Bromine pentafluoride,BrF5,1.51
Bromoacetylene,C2HBr,0.22962
Bromobenzene,C6H5Br,1.7
1-Bromobutane,C4H9Br,2.08
2-Bromobutane- (±)-,C4H9Br,2.23
1-Bromo-2-chloroethane,C2H4BrCl,1.2
Bromochlorofluoromethane,CHBrClF,1.5
Bromochloromethane,CH2BrCl,1.66
1-Bromodecane,C10H21Br,1.93
Bromoethane,C2H5Br,2.04
Bromoethene,C2H3Br,1.42
Bromofluoroacetylene,C2BrF,0.448
1-Bromoheptane,C7H15Br,2.16
Bromomethane,CH3Br,1.8203
2-Bromo-2-methylpropane,C4H9Br,2.17
1-Bromonaphthalene,C10H7Br,1.55
1-Bromopentane,C5H11Br,2.2
1-Bromopropane,C3H7Br,2.18
2-Bromopropane,C3H7Br,2.21
2-Bromopropene,C3H5Br,1.51
3-Bromopropene,C3H5Br,1.9
Bromosilane,BrH3Si,1.319
Bromotrifluoromethane,CBrF3,0.65
Bromotrifluorosilane,BrF3Si,0.835
1-2-Butadiene,C4H6,0.403
Butanal,C4H8O,2.72
1-4-Butanediol,C4H10O2,2.58
1-Butanethiol,C4H10S,1.53
Butanoic acid,C4H8O2,1.65
1-Butanol,C4H10O,1.66
2-Butanone,C4H8O,2.779
trans-2-Butenal,C4H6O,3.67
cis-2-Butene,C4H8,0.253
cis-2-Butene-1-4-diol,C4H8O2,2.48
trans-2-Butene-1-4-diol,C4H8O2,2.45
trans-2-Butenoic acid,C4H6O2,2.13
cis-2-Buten-1-ol,C4H8O,1.96
trans-2-Buten-1-ol,C4H8O,1.9
1-Buten-3-yne,C4H4,0.22
2-Butoxyethanol,C6H14O2,2.08
Butyl acetate,C6H12O2,1.87
sec-Butyl acetate,C6H12O2,1.87
Butylamine,C4H11N,1
sec-Butylamine,C4H11N,1.28
tert-Butylamine,C4H11N,1.29
tert-Butylbenzene,C10H14,0.83
Butyl ethyl ether,C6H14O,1.24
Butyl formate,C5H10O2,2.03
Butyl stearate,C22H44O2,1.88
Butyl vinyl ether,C6H12O,1.25
1-Butyne,C4H6,0.782
γ-Butyrolactone,C4H6O2,4.27
Calcium methoxide,CH3CaO,1.58
Calcium monochloride,CaCl,3.6
Camphor (+),C10H16O,3.1
Caprolactam,C6H11NO,3.9
Carboimidic difluoride,CHF2N,1.393
Carbon dioxide dimer-water complex,C2O4·H2O,1.989
Carbon dioxide-mercury complex,CO2·Hg,0.107
Carbon dioxide-water dimer complex,CO2·H4O2,1.746
Carbon disulfide-sulfur dioxide complex,CO2·O2S,1.096
Carbon monoselenide,CSe,1.99
Carbon monosulfide,CS,1.958
Carbon monoxide,CO,0.1098
Carbon monoxide dimer-water complex,C2O2·H2O,1.57
Carbon oxyselenide,COSe,0.73
Carbon oxysulfide,COS,0.715189
Carbon oxysulfide-carbon dioxide dimer complex,COS·C2O4,0.69
Carbon oxysulfide-water complex,COS·H2O,2.668
Carbonyl chloride,CCl2O,1.17
Carbonyl fluoride,CF2O,0.95
Cesium chloride,ClCs,10.387
Cesium fluoride,CsF,7.884
