Ac-O,794
Ac-S,505
Ag2,162.9
Ag-Al,183.7
Ag-Au,202.5
Ag-Bi,192
Ag-Br,280.3
Ag-Cl,279.1
Ag-Cu,171.5
Ag-D,226.8
Ag-Dy,130
Ag-Eu,127
Ag-F,356.9
Ag-Ga,159
Ag-Ge,174.5
Ag-H,202.4
Ag-Ho,124
Ag-I,234
Ag-In,166.5
Ag-Li,186.1
Ag-Mn,99.2
Ag-Na,133.1
Ag-Nd,213
Ag-O,221
Ag-S,216.7
Ag-Sb,156.3
Ag-Se,210.0
Ag-Si,185.1
Ag-Sn,136
Ag-Te,195.8
Al2,264.3
Al-Ar,5.69
Al-As,202.7
Al-Au,325.9
Al-Br,429.2
Al-C,267.7
Al-Ca,52.7
Al-Cl,502
Al-Co,181.6
Al-Cr,222.9
Al-Cu,227.1
Al-D,290.4
Al-F,675
Al-H,288
Al-I,369.9
Al-Kr,6.05
Al-Li,76.1
Al-N,368
Al-Ne,3.9
Al-Ni,224.7
Al-O,501.9
Al-P,216.7
Al-Pd,254.4
Al-S,332
Al-Sb,216.3
Al-Se,318
Al-Si,246.9
Al-Te,268
Al-Ti,263.4
Al-U,326
Al-V,147.4
Al-Xe,7.39
Am-O,582
Am-S,375
Ar2,4.91
Ar-Au,5.50
Ar-B,4.62
Ar-Br,5.0
Ar-C,5.158
Ar-Ca,4.44
Ar-Cd,5.57
Ar-Ga,3.96
Ar-Ge,5.4
Ar-He,3.96
Ar-Hg,5.32
Ar-I,5.3
Ar-In,4.18
Ar-Kr,5.11
Ar-Li,7.82
Ar-Mg,3.7
Ar-Na,4.2
Ar-Ne,4.27
Ar-Si,5.86
Ar-Sn,5.1
Ar-Tl,4.09
Ar-Xe,5.28
Ar-Zn,5.0
As2,385.8
As-Cl,448
As-D,270.3
As-F,410
As-Ga,202.5
As-H,274.0
As-I,296.6
As-In,201
As-N,489
As-O,484
As-P,433.5
As-S,379.5
As-Sb,330.5
As-Se,96
As-Tl,198.3
Au2,226.2
Au-B,367.8
Au-Ba,275.2
Au-Be,237.7
Au-Bi,293
Au-Br,213
Au-Ca,250.4
Au-Ce,322
Au-Cl,280
Au-Co,218.0
Au-Cr,223.7
Au-Cs,253
Au-Cu,227.1
Au-D,322.2
Au-Dy,259
Au-Eu,245
Au-F,294.1
Au-Fe,187.0
Au-Ga,290
Au-Ge,273.2
Au-H,300.5
Au-Ho,267
Au-I,276
Au-In,286.0
Au-K,271.5
Au-Kr,6.59
Au-La,457
Au-Li,284.5
Au-Lu,332
Au-Mg,179.1
Au-Mn,197.7
Au-Na,247.4
Au-Nd,294
Au-Ni,247
Au-O,223
Au-Pb,133
Au-Pd,142.7
Au-Pr,311
Au-Rb,243
Au-Rh,232.6
Au-S,253.6
Au-Sb,241.3
Au-Sc,280
Au-Se,251.0
Au-Si,304.6
Au-Sn,256.5
Au-Sr,246.4
Au-Tb,285
Au-Te,237.2
Au-U,318
Au-V,246.0
Au-Xe,11.33
Au-Y,310
B2,290
B-Br,390.9
B-C,448
B-Cd,301.0
B-Ce,305
B-Cl,427
B-D,341.0
B-F,732
B-H,345.2
B-I,361
B-Ir,512.2
B-La,335
B-N,377.9
B-Ne,3.97
B-O,809
B-P,347
B-Pd,351.5
B-Pt,477.8
B-Rh,475.8
B-Ru,446.9
B-S,577
B-Sc,272
B-Se,462
B-Si,317
B-Te,354
B-Th,297
B-Ti,272
B-U,322
B-Y,289
Ba-Br,359.9
Ba-Cl,439.3
Ba-D,193.7
Ba-F,580.0
Ba-H,192.0
Ba-I,321.0
Ba-O,562
Ba-Pd,221.8
Ba-Rh,259.4
Ba-S,418
Be2,59
Be-Br,316
Be-Cl,384
Be-D,203.1
Be-F,573
Be-H,221
Be-I,261
Be-O,437
Be-S,372
Be-T,204.4
Bi2,204.4
Bi-Br,240.2
Bi-Cl,300.4
Bi-D,283.7
Bi-F,366.5
Bi-Ga,158.6
Bi-H,283.3
Bi-I,186.1
Bi-In,153.6
Bi-Li,149.4
Bi-O,337.2
Bi-P,281.7
Bi-Pb,142.4
Bi-S,315.5
Bi-Sb,252.7
Bi-Se,280.3
Bi-Sn,193
Bi-Te,232.2
Bi-Tl,120.9
Bk-O,598
Br2,193.859
Br-C,318.0
Br-Ca,339
Br-Cd,159
Br-Ce,375.2
Br-Cl,219.32
