Ac,Actinium,5.17
Ag,Silver,7.57624
AgCl,Silver(I) chloride,10.08
AgF,Silver(I),11.0
Al,Aluminum,5.98577
AlBr,Aluminum,9.3
AlBr3,Aluminum,10.4
AlCl,Aluminum,9.4
AlCl3,Aluminum,12.01
AlF,Aluminum,9.73
AlF3,Aluminum,15.45
AlI,Aluminum,9.3
AlI3,Aluminum,9.1
Am,Americium,5.9738
Ar,Argon,15.75962
As,Arsenic,9.8152
AsCl3,Arsenic(III),10.55
AsF3,Arsenic(III),12.84
AsH3,Arsine,9.89
Au,Gold,9.22567
B,Boron,8.29803
BBr3,Boron,10.51
BCl3,Boron,11.60
BF,Fluoroborane,11.12
BF2,Difluoroborane,9.4
BF3,Boron,15.7
BH,Boron,9.77
BH3,Borane,12.026
BI3,Boron,9.25
BO2,Boron,13.5
B2H6,Diborane,11.38
B2O3,Boron,13.5
B4H10,Tetraborane,10.76
B5H9,Pentaborane9,9.90
B6H10,Hexaborane,9.0
Ba,Barium,5.21170
BaO,Barium,6.91
Be,Beryllium,9.32263
BeO,Beryllium,10.1
Bi,Bismuth,7.2855
BiCl3,Bismuth,10.4
Bk,Berkelium,6.23
Br,Bromine,11.81381
BrCl,Bromine,11.01
BrF,Bromine,11.86
BrF5,Bromine,13.172
BrH,Hydrogen,11.66
BrH3Si,Bromosilane,10.6
BrI,Iodine,9.790
BrK,Potassium,7.85
BrLi,Lithium,8.7
BrNO,Nitrosyl,10.17
BrNa,Sodium,8.31
BrO,Bromine,10.46
BrRb,Rubidium,7.94
BrTl,Thallium(I),9.14
Br2,Bromine,10.516
Br2Hg,Mercury(II),10.560
Br2Sn,Tin(II),9.0
Br3Ga,Gallium(III),10.40
Br3P,Phosphorus(III),9.7
Br4Hf,Hafnium(IV),10.9
Br4Sn,Tin(IV),10.6
Br4Ti,Titanium(IV),10.3
Br4Zr,Zirconium(IV),10.7
Ca,Calcium,6.11316
CaCl,Calcium,5.86
CaO,Calcium,6.66
Cd,Cadmium,8.99367
Ce,Cerium,5.5387
Cf,Californium,6.30
Cl,Chlorine,12.96764
ClCs,Cesium,7.84
ClF,Chlorine,12.66
ClFO3,Perchloryl,12.945
ClF2,Chlorine,12.77
ClF3,Chlorine,12.65
ClF5S,Sulfur chloride,12.335
ClH,Hydrogen,12.749
ClHO,Hypochlorous,11.12
ClH3Si,Chlorosilane,11.4
ClI,Iodine,10.088
ClIn,Indium(I),9.51
ClK,Potassium,8.0
ClLi,Lithium,9.57
ClNO,Nitrosyl,10.87
ClNO2,Nitryl,11.84
ClNa,Sodium,8.92
ClO,Chlorine,10.95
ClO2,Chlorine,10.33
ClRb,Rubidium,8.50
ClTl,Thallium(I),9.70
Cl2,Chlorine,11.480
Cl2CrO2,Chromyl,11.6
Cl2Ge,Germanium(II),10.20
Cl2H2Si,Dichlorosilane,11.4
Cl2Hg,Mercury(II),11.380
Cl2O,Chlorine,10.94
Cl2OS,Thionyl,10.96
Cl2O2S,Sulfuryl,12.05
Cl2Pb,Lead(II),10.2
Cl2S,Sulfur,9.45
Cl2Si,Dichlorosilylene,10.93
Cl2Sn,Tin(II),10.0
Cl3Ga,Gallium(III),11.52
Cl3HSi,Trichlorosilane,11.7
Cl3N,Nitrogen,10.12
Cl3OP,Phosphorus(V),11.36
Cl3OV,Vanadyl,11.6
Cl3P,Phosphorus(III),9.91
Cl3PS,Phosphorus(V) sulfide,9.71
Cl3Sb,Antimony(III) chloride,10.7
Cl4Ge,Germanium(IV),11.68
Cl4Hf,Hafnium(IV),11.7
Cl4Si,Tetrachlorosilane,11.79
Cl4Sn,Tin(IV),11.7
Cl4Ti,Titanium(IV),11.5
Cl4V,Vanadium(IV),9.2
Cl4Zr,Zirconium(IV),11.2
Cl5Mo,Molybdenum(V),8.7
Cl5Nb,Niobium(V),10.97
Cl5P,Phosphorus(V),10.2
Cl5Ta,Tantalum(V),11.08
Cl6W,Tungsten(VI),9.5
Cm,Curium,6.02
Co,Cobalt,7.8810
Cr,Chromium,6.76664
Cs,Cesium,3.89390
CsF,Cesium,8.80
CsNa,Cesium,4.05
Cu,Copper,7.72638
CuF,Copper(I),10.15
Dy,Dysprosium,5.9389
Er,Erbium,6.1078
Es,Einsteinium,6.42
Eu,Europium,5.6704
F,Fluorine,17.42282
FGa,Gallium,9.6
FH,Hydrogen,16.044
FHO,Hypofluorous,12.71
FH3Si,Fluorosilane,11.7
FI,Iodine,10.54
FIn,Indium,9.6
FNO,Nitrosyl,12.63
FNO2,Nitryl,13.09
FNS,Thionitrosyl fluoride,11.51
FO,Fluorine,12.78
FO2,Fluorine superoxide,12.6
FS,Sulfur,10.09
FTl,Thallium(I),10.52
F2,Fluorine,15.697
F2Ge,Germanium(II) fluoride,11.65
F2HN,Difluoramine,11.53
F2H2Si,Difluorosilane,12.2
F2Mg,Magnesium,13.6
F2N,Difluoroamidogen,11.628
F2N2,trans-Difluorodiazine,12.8
F2O,Fluorine,13.11
F2OS,Thionyl,12.25
F2O2S,Sulfuryl,13.04
F2Pb,Lead(II),11.5
F2S,Sulfur,10.08
F2Si,Difluorosilylene,10.78
F2Sn,Tin(II),11.1
F2Xe,Xenon,12.35
F3HSi,Trifluorosilane,14.0
F3N,Nitrogen,13.00
F3NO,Trifluoramine,13.31
F3OP,Phosphorus(V),12.76
F3P,Phosphorus(III),11.60
F3PS,Phosphorus(V) sulfide,11.05
F3Si,Trifluorosilyl,9.99
F4Ge,Germanium(IV),15.5
F4N2,Tetrafluorohydrazine,11.94
F4S,Sulfur,12.0
F4Si,Tetrafluorosilane,15.24
F4Xe,Xenon,12.65
F5I,Iodine,12.943
F5P,Phosphorus(V),15.1
F5S,Sulfur,9.60
F6Mo,Molybdenum(VI),14.5
F6S,Sulfur,15.32
F6U,Uranium(VI),14.00
Fe,Iron,7.9024
Fm,Fermium,6.50
Ga,Gallium,5.99930
GaI3,Gallium(III),9.40
Gd,Gadolinium,6.1500
Ge,Germanium,7.900
GeH4,Germane,10.53
GeI4,Germanium(IV),9.42
GeO,Germanium(II),11.25
GeS,Germanium(II),9.98
H,Hydrogen,13.59844
HI,Hydrogen,10.386
HLi,Lithium,7.7
HN,Imidogen,13.49
HNO,Nitrosyl,10.1
HNO2,Nitrous,11.3
HNO3,Nitric,11.95
HN3,Hydrazoic,10.72
HO,Hydroxyl,13.0170
