AgCl,Silver(I) chloride,2,X,X,-11.03766,6.08,-49,X,-2.8925924000000003,"{'str': '', 'Ag—Cl': '2.2808'}",solid
AgF,Silver(I) fluoride,2,X,X,-11.099844,6.22,-36.5,X,-3.6989115999999997,"{'str': '', 'Ag—F': '1.9832'}",solid
BaO,Barium oxide,2,2,2,-5.627652,7.954,-29.1,X,-5.824568,"{'str': '', 'Ba—O': '1.9397'}",solid
BeO,Beryllium oxide,2,2,2,-11.514404,1.40,-11.9,1435,-4.529068,"{'str': '', 'Be—O': '1.3308'}",solid
Br2,Bromine,2,1,1,-10.840744,0.0,-73.5,323,-2.009154676,"{'str': '', 'Br—Br': '2.2811'}",gas
CO,Carbon monoxide,2,2,4,-12.872088,0.1098,-9.8,2143,-11.15819332,1.128,gas
Cl2,Chlorine,2,1,1,-11.483312,0.0,-40.4,554,-2.516907764,"{'str': '', 'Cl—Cl': '1.9878'}",liquid
CsCl,Cesium chloride,2,X,X,-5.28564,10.387,-56.7,X,-4.6192348,"{'str': '', 'Cs—Cl': '2.9063'}",solid
CsF,Cesium fluoride,2,1,1,-5.067996,7.884,-44.5,X,-5.3592244,"{'str': '', 'Cs—F': '2.3454'}",solid
D2,Deuterium,2,1,1,-15.47,0.0,-3.99,2994,-4.5945653708,0.742,gas
GeO,Germanium(II) oxide,2,X,X,-10.820016,3.2823,-28.8,977,-6.81433,"{'str': '', 'Ge—O': '1.6246'}",solid
GeS,Germanium(II) sulfide,2,X,X,-10.93402,2,-40.9,576,-5.534376,"{'str': '', 'Ge—S': '2.0121'}",solid
H2,Hydrogen,2,1,1,-15.421632,0.0,-3.99,4161,-4.5164228836,"{'str': '', 'H—H': '0.74144'}",gas
HCl,Hydrogen chloride,2,1,1,-11.783868,1.1086,-22,2886,-4.470625404,"{'str': '', 'H—Cl': '1.2746'}",aq.soln.
HD,HD,2,1,1,-15.44,0.00,-3.99,3632,-4.55,0.741,gas
