Ac,Actinium,1,X,-5.17,X,X,X,X,X,X
AcO,,2,X,X,X,X,X,-8.229016,X,X
AcS,,2,X,X,X,X,X,-5.23382,X,X
Ag,Silver,1,X,-7.57624,X,-19.5,X,X,X,solid
Ag2,,2,X,X,X,X,X,-1.6882956,X,X
Ag2CO3,Silver(I) carbonate,6,X,X,X,-80.90,X,X,X,solid
Ag2O,Silver(I) oxide,3,X,X,X,-134,X,X,X,solid
Ag2SO4,Silver(I) sulfate,7,X,X,X,-92.90,X,X,X,solid
Ag3PO4,Silver(I) phosphate,8,X,X,X,-120,X,X,X,solid
AgAu,,2,X,X,X,X,X,-2.09871,X,X
AgBi,,2,X,X,X,X,X,-1.989888,X,X
AgBr,Silver(I) bromide,2,X,X,5.62,-61,X,-2.9050292,"{'str': 'N', 'Ag—Br': '2.3931'}",solid
AgCN,Silver(I) cyanide,3,X,X,X,-43.2,X,X,X,solid
AgCSN,Silver(I) thiocyanate,4,X,X,X,-61.8,X,X,X,solid
AgCl,Silver(I) chloride,2,"['1', '1']",-10.08,6.08,-49,X,-2.8925924000000003,"{'str': 'N', 'Ag—Cl': '2.2808'}",solid
AgD,,2,X,X,X,X,X,-2.3505552,X,X
AgF,Silver(I),2,"['1', '1']",-11.0,6.22,-36.5,X,-3.6989115999999997,"{'str': 'N', 'Ag—F': '1.9832'}",solid
AgGe,,2,X,X,X,X,X,-1.808518,X,X
AgH,,2,X,X,X,X,X,-2.0976736000000002,"{'str': 'N', 'Ag—H': '1.617'}",X
AgI,Silver(I) iodide,2,X,X,4.55,-80,X,-2.425176,"{'str': 'N', 'Ag—I': '2.5446'}",solid
AgNO2,Silver(I) nitrite,4,X,X,X,-42,X,X,X,solid
AgNO3,Silver(I) nitrate,5,X,X,X,-45.7,X,X,X,solid
AgO,Silver(II) oxide,2,X,X,X,-19.6,X,-2.290444,"{'str': 'N', 'Ag—O': '2.0030'}",solid
AgS,,2,X,X,X,X,X,-2.2458788,X,X
AgSb,,2,X,X,X,X,X,-1.6198932000000001,X,X
AgSe,,2,X,X,X,X,X,-2.17644,X,X
AgSn,,2,X,X,X,X,X,-1.409504,X,X
AgTe,,2,X,X,X,X,X,-2.0292712,X,X
Al,Aluminum,1,X,-5.98577,0.0,16.5,X,X,X,solid
Al2,,2,X,-5.4,0.0,X,284,-2.7392052000000002,"{'str': 'N', 'Al—Al': '2.701'}",X
Al2(SO4)3,Aluminum sulfate,17,X,X,X,-93,X,X,X,solid
Al2O3,Aluminum oxide (α),5,X,X,X,-37,X,X,X,solid
AlAg,,2,X,X,X,X,X,-1.9038667999999999,X,X
AlAr,,2,X,X,X,X,X,-0.05897116,X,X
AlAs,,2,X,X,X,X,X,-2.1007827999999997,X,X
AlAu,,2,X,X,X,X,X,-3.3776276,X,X
AlBr,Aluminum,2,X,-9.3,X,X,375,-4.4482288,"{'str': 'N', 'Al—Br': '2.295'}",X
AlBr3,Aluminum,4,X,-10.4,X,X,X,X,"{'str': 'D3h', 'Al—Br': '2.221'}",X
AlC,,2,X,X,X,X,646,-2.7744427999999997,X,X
AlCl,Aluminum,2,X,-9.4,X,X,478,-5.202728,"{'str': 'N', 'Al—Cl': '2.1301'}",X
AlCl3,Aluminum,4,X,-12.01,0.0,X,375,X,"{'str': 'D3h', 'Al—Cl': '2.063'}",X
AlCo,,2,X,X,X,X,X,-1.8821024,"{'str': 'N', 'Al—Co': '2.283'}",X
AlCr,,2,X,X,X,X,X,-2.3101356,X,X
AlCu,,2,X,X,X,X,X,-2.3536644,"{'str': 'N', 'Al—Cu': '2.339'}",X
AlD,,2,X,X,X,X,X,-3.0097055999999998,X,X
