0,0,1,"0,0,0"
1,3,8,"1,1,1"
2,4,6,"2,0,0"
3,8,12,"2,2,0"
4,11,24,"3,1,1"
5,12,8,"2,2,2"
6,16,6,"4,0,0"
7,19,22,"3,3,1"
8,20,24,"4,2,0"
9,24,21,"4,2,2"
10,27,8,"3,3,3"
10,27,22,"5,1,1"
11,32,12,"4,4,0"
12,35,43,"5,3,1"
13,36,24,"4,4,2"
13,36,6,"6,0,0"
14,40,19,"6,2,0"
15,43,21,"5,3,3"
16,44,24,"6,2,2"
17,48,7,"4,4,4"
18,51,21,"5,5,1"
18,51,19,"7,1,1"
19,52,22,"6,4,0"
20,56,40,"6,4,2"
21,59,20,"5,5,3"
21,59,38,"7,3,1"
22,64,5,"8,0,0"
23,67,18,"7,3,3"
24,68,20,"6,4,4"
24,68,22,"8,2,0"
25,72,11,"6,6,0"
25,72,14,"8,2,2"
26,75,7,"5,5,5"
26,75,38,"7,5,1"
27,76,24,"6,6,2"
28,80,17,"8,4,0"
29,83,41,"7,5,3"
29,83,17,"9,1,1"
30,84,45,"8,4,2"
31,88,21,"6,6,4"
32,91,31,"9,3,1"
33,96,20,"8,4,4"
34,99,19,"7,5,5"
34,99,20,"7,7,1"
34,99,18,"9,3,3"
35,100,20,"8,6,0"
35,100,1,"10,0,0"
36,104,33,"8,6,2"
37,107,19,"7,7,3"
37,107,37,"9,5,1"
38,108,7,"6,6,6"
38,108,11,"10,2,2"
39,115,31,"9,5,3"
40,116,39,"8,6,4"
40,116,3,"10,4,0"
41,123,20,"7,7,5"
42,128,6,"8,8,0"
43,131,19,"9,5,5"
43,131,29,"9,7,1"
44,132,22,"8,8,2"
44,132,5,"10,4,4"
45,136,18,"8,6,6"
46,139,33,"9,7,3"
47,140,18,"10,6,2"
48,144,11,"8,8,4"
49,147,6,"7,7,7"
50,155,30,"9,7,5"
51,163,17,"9,9,1"
52,164,19,"8,8,6"
52,164,3,"10,8,0"
53,171,14,"9,9,3"
54,172,9,"10,6,6"
55,179,17,"9,7,7"
56,180,9,"10,8,4"
57,187,16,"9,9,5"
58,192,2,"8,8,8"
59,204,2,"10,10,2"
60,211,13,"9,9,7"
61,228,4,"10,8,8"
62,236,2,"10,10,6"
63,243,2,"9,9,9"
